nid,name,translation,type,target
n9306,cabinet(1),2.15 -1 0.83,Storage
n9307,back box,0.01 0 0.69,
n9317,left box,0.36 0.21 0.69,
n9327,right box,0.36 -0.21 0.69,
n9337,top box,0.35 0 1.37,
n9347,bottom box,0.35 0 0.01,
n9357,door 0,0.7 1.0408341e-17 0.69,
n9361,box,-0.01 0 0,
n9375,cabinet handle,0 0 -0.3,
n9406,box 1,0.35 1.0408341e-17 0.22,
n9416,box 2,0.35 1.0408341e-17 0.42,
n9426,box 3,0.35 1.0408341e-17 0.62,
n9436,box 4,0.35 1.0408341e-17 0.82,
n9446,box 5,0.35 1.0408341e-17 1.02,
n9472,cabinet(2),-0.11 1.65 0.15,Storage
n9473,back box,0.01 0 1.03,
n9483,left box,0.345 0.23 1.03,
n9493,right box,0.345 -0.23 1.03,
n9503,top box,0.335 0 2.05,
n9513,bottom box,0.335 0 0.01,
n9523,door 0,0.67 1.0408341e-17 1.075,
n9527,box,-0.01 0 0,
n9541,cabinet handle,0 -0.15 0,
n9572,door 1,0.67 1.0408341e-17 1.745,
n9576,box,-0.01 0 0,
n9590,cabinet handle,0 -0.15 0,
n9621,box 2,0.335 1.0408341e-17 0.7,
n9631,box 3,0.335 1.0408341e-17 0.95,
n9641,box 4,0.335 1.0408341e-17 1.2,
n9651,box 5,0.335 1.0408341e-17 1.45,
n9661,box 6,0.335 1.0408341e-17 1.7,
n9703,cabinet(3),2.15 -0.1 1.4,Storage
n9704,back box,0.01 0 0.34,
n9714,left box,0.26 0.67 0.34,
n9724,right box,0.26 -0.67 0.34,
n9734,top box,0.25 0 0.67,
n9744,bottom box,0.25 0 0.01,
n9754,door 0,0.5 -0.44 0.34,
n9758,box,-0.01 0 0,
n9772,cabinet handle,0 -0.2 0,
n9803,door 1,0.5 9.367507e-17 0.34,
n9807,box,-0.01 0 0,
n9821,cabinet handle,0 -0.2 0,
n9852,door 2,0.5 0.44 0.34,
n9856,box,-0.01 0 0,
n9870,cabinet handle,0 -0.2 0,
n9901,box 3,0.25 9.367507e-17 0.23,
n9911,box 4,0.25 -0.22 0.44,
n9921,box 5,0.2501 -0.2199 0.1251,
n9931,box 6,0.2501 0.2201 0.3401,
n9989,cabinet(4),0.37 1.647 1.4,Storage
n9990,back box,0.01 0 0.34,
n10000,left box,0.26 0.23 0.34,
n10010,right box,0.26 -0.23 0.34,
n10020,top box,0.25 0 0.67,
n10030,bottom box,0.25 0 0.01,
n10040,door 0,0.5 1.0408341e-17 0.34,
n10044,box,-0.01 0 0,
n10058,cabinet handle,0 -0.2 0,
n10089,box 1,0.25 1.0408341e-17 0.23,
n10099,box 2,0.25 1.0408341e-17 0.44,
n10125,cabinet(5),0.79 1.48 0.15,Storage
n10126,back box,0.01 0 0.34,
n10136,left box,0.26 0.65 0.34,
n10146,right box,0.26 -0.65 0.34,
n10156,top box,0.25 0 0.67,
n10166,bottom box,0.25 0 0.01,
n10176,door 0,0.5 -0.065 0.34,
n10180,box,-0.01 0 0,
n10194,cabinet handle,0 0 0.1,
n10225,door 1,0.5 0.405 0.34,
n10229,box,-0.01 0 0,
n10243,cabinet handle,0 0 0.1,
n10274,door 2,0.5 -0.47 0.34,
n10278,box,-0.01 0 0,
n10292,cabinet handle,0 0 0.1,
n10323,box 3,0.25 -0.47 0.23,
n10333,box 4,0.25 -0.47 0.44,
n10343,box 5,0.2501 -0.2999 0.3401,
n10353,box 6,0.2501 0.1701 0.3401,
n10411,cabinet,2.15 -0.12 0.15,Storage
n10412,back box,0.01 0 0.34,
n10422,left box,0.36 1.09 0.34,
n10432,right box,0.36 -1.09 0.34,
n10442,top box,0.35 0 0.67,
n10452,bottom box,0.35 0 0.01,
n10462,door 0,0.7 -0.05 0.27,
n10466,box,-0.01 0 0,
n10511,door 1,0.7 0.865 0.34,
n10515,box,-0.01 0 0,
n10560,door 2,0.7 0.435 0.34,
n10564,box,-0.01 0 0,
n10609,drawer 3,0.7 -0.7 0.145,
n10613,back box,-0.6666 0 0,
n10624,bottom box,-0.3383 0 -0.104375,
n10635,front box,-0.01 0 0,
n10646,right box,-0.3383 -0.3581 0.01,
n10657,left box,-0.3383 0.3581 0.01,
n10701,drawer 4,0.7 -0.7 0.395,
n10705,back box,-0.6666 0 0,
n10716,bottom box,-0.3383 0 -0.104375,
n10727,front box,-0.01 0 0,
n10738,right box,-0.3383 -0.3581 0.01,
n10749,left box,-0.3383 0.3581 0.01,
n10793,drawer 5,0.7 -0.7 0.59,
n10797,back box,-0.6666 0 0,
n10808,bottom box,-0.3383 0 -0.04965,
n10819,front box,-0.01 0 0,
n10830,right box,-0.3383 -0.3581 0.01,
n10841,left box,-0.3383 0.3581 0.01,
n10885,drawer 6,0.7 -0.05 0.59,
n10889,back box,-0.6666 0 0,
n10900,bottom box,-0.3383 0 -0.04965,
n10911,front box,-0.01 0 0,
n10922,right box,-0.3383 -0.24865 0.01,
n10933,left box,-0.3383 0.24865 0.01,
n10977,box 7,0.35 -0.7 0.27,
n10987,box 8,0.35 -0.43 0.52,
n10997,box 9,0.35 0.65 0.27,
n11007,box 10,0.3501 -0.3199 0.3401,
n11017,box 11,0.3501 0.2201 0.3401,
n11027,box 12,0.3501 0.6501 0.1451,
n6219,floor(1),0 -0.17 0,
n6251,floor,-0.5 -3 0,
n6273,ceiling,0 -1.1 2.4,
n6303,wall(1),1.8 1.75 0,
n6324,wall(2),2.25 -0.15 0,
n6345,wall(3),-0.75 1.75 0,
n6366,wall(4),-2.25 1.35 0,
n6387,wall(5),-2.25 -0.45 0,
n6407,wall(6),-2.25 -2.985 0,
n6428,wall(7),-0.5 -3.92 0,
n6449,wall(8),1.25 -2.986 0,
n6469,wall,1.75 -2.05 0,
n6591,door,-2.25 -1.45 0,
n6596,mobile part,0 0 2.2,
n6602,top frame,0 0 1.975,
n6623,left frame,0 -0.475 1,
n6644,right frame,0 0.475 1,
n6915,box(1),1.55 -0.12 0.07,
n6932,box(2),0.65 1.08 0.07,
n6949,box(3),1.9 -1.12 0.07,
n6966,box(4),-0.25 1.415 0.07,
n6983,box(5),-1.23 1.645 0.03,
n7000,box(6),-2.145 0.345 0.03,
n7017,box(7),-2.145 -2.885 0.03,
n7034,box(8),1.645 -1.945 0.03,
n7051,box(9),1.145 -2.88 0.03,
n7068,box,-0.495 -3.815 0.03,
n7086,window(1),-2.25 0.45 0,
n7092,bottom wall,0 0 0.45,
n7098,top wall,0 0 2.15,
n7104,glass,0 0 1.4,
n7113,sill,0 0 0.925,
n7134,bottom frame,0 0 0.975,
n7155,top frame,0 0 1.875,
n7176,right frame,0 0.39 1.4,
n7197,left frame,0 -0.39 1.4,
n7279,window,1.05 1.75 0,
n7281,bottom wall,0 0 0.6,
n7287,top wall,0 0 2.3,
n7293,glass,0 0 1.7,
n7302,sill,0 0 1.225,
n7323,bottom frame,0 0 1.275,
n7344,top frame,0 0 2.175,
n7365,right frame,0 0.39 1.7,
n7386,left frame,0 -0.39 1.7,
n9225,fridge,1.8 -1.57 0,Storage
n9233,upper fridge door,0.36 0.34 1.55,
n9258,lower fridge door,0.36 0.34 0.65,
n7545,worktop(1),0.345 1.31 0.86,Appliance
n7577,worktop(2),0.78 1.531 0.86,Appliance
n7609,worktop(3),0.780001 1.003 0.86,Appliance
n7641,worktop(4),1.22 1.306 0.86,Appliance
n7673,worktop,1.79 0.435 0.86,Appliance
n7700,sink,0.78 1.33 0.87,Appliance
n7732,hot plate,1.62912 1.14971 0.86,Appliance
n7744,oven,-0.11 1.24 0.17,Appliance
n7788,solid(1),2.01 1.48 2.09,
n7793,solid(2),1.8 1.3 1.742,
n7819,table(1),-1.21 1.31 0,Furbishing
n7823,main frame,0 0 0.775,
n7853,foot 1,0.8 0.25 0.375,
n7883,foot 2,-0.8 0.25 0.375,
n7913,foot 3,0.8 -0.25 0.375,
n7943,foot 4,-0.8 -0.25 0.375,
n8069,table,-0.65 -1.43 0,Furbishing
n8073,main frame,0 0 0.715,
n8103,foot 1,0.45 0.85 0.345,
n8133,foot 2,-0.45 0.85 0.345,
n8163,foot 3,0.45 -0.85 0.345,
n8193,foot 4,-0.45 -0.85 0.345,
n8303,ceiling light,-0.7 -1.5 2.4,
n8318,chair(1),-0.64 -0.5 0,Furbishing
n8356,chair(2),-0.64 -2.33 0,Furbishing
n8394,chair(3),-0.18 -1.87 0.01,Furbishing
n8432,chair(4),-1.09 -1.05 0,Furbishing
n8470,chair(5),-0.18 -1.05 0,Furbishing
n8508,chair,-1.12 -1.87 0,Furbishing
n8546,carafe,-0.630027 -0.734801 0.738809,Object,cabinet
n8576,water bottle(1),2.03231 -1.38728 0.583373,Object,fridge
n8599,water bottle(2),-0.480933 -1.15603 0.737804,Object,fridge
n8621,water bottle(3),2.04154 -1.64506 0.583373,Object,fridge
n8643,water bottle(4),2.02614 -1.73192 0.583373,Object,fridge
n8665,water bottle,2.04731 -1.82544 0.583373,Object,fridge
n8687,beer bottle(1),2.04128 -1.61124 0.297922,Object,fridge
n8710,can(1),1.94171 -1.53737 0.361031,Object,cabinet
n8721,can,1.7218 -1.51734 0.361031,Object,cabinet
n8732,beer bottle(2),1.88725 -1.71215 0.297922,Object,fridge
n8754,beer bottle,1.8952 -1.38446 0.297922,Object,fridge
n8776,fruit bowl(1),1.7718 -1.62734 0.0494506,Object,fridge
n8794,fruit bowl,-0.685501 -1.754 0.739509,Object,cabinet
n8812,apple(1),-0.742825 -1.69768 0.799176,Object,fruit bowl
n8823,apple(2),-0.742608 -1.80756 0.79923,Object,fruit bowl
n8833,apple,-0.642646 -1.81032 0.799203,Object
n8843,orange(1),-0.691001 -1.75244 0.864743,Object
n8855,orange(2),1.71437 -1.56974 0.10921,Object
